38,18,4
6,22,4
19,1,31
19,15,29
8,46,3
2,48,4
27,24,11
26,26,49
3,13,21
10,20,25
2,41,37
35,10,11
44,27,1
16,20,22
49,2,19
25,36,24
14,20,43
36,4,25
43,44,30
33,43,36
6,12,14
5,21,9
24,50,5
37,42,20
33,31,39
4,7,41
21,27,30
39,5,18
23,9,3
29,6,9
12,37,49
6,2,45
13,39,19
18,35,25
26,29,50
18,33,30
27,50,20
34,8,14
37,44,22
45,10,28
37,1,49
25,26,6
37,16,47
37,21,50
47,20,29
31,40,45
18,36,48
31,40,23
44,41,14
37,41,1
11,49,45
25,43,27
20,14,20
35,1,5
24,6,36
24,45,39
28,41,17
33,30,43
44,12,28
39,31,50
17,39,21
50,1,50
45,21,11
23,16,27
27,27,10
22,48,30
26,4,21
38,20,4
49,26,29
14,29,34
46,39,17
27,17,31
11,4,29
35,2,18
24,50,42
11,36,31
23,14,28
20,38,27
42,44,19
47,3,27
30,45,15
17,9,37
28,16,30
16,44,15
32,37,23
4,6,12
34,44,42
23,14,48
39,15,10
12,20,3
26,23,7
41,8,43
38,39,1
24,23,34
8,19,18
2,23,8
25,25,27
45,36,9
7,1,23
35,23,18
10,49,36
